freguesia,genero,ocupacao,destino,valor
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",H,Estudante,"No mesmo município, noutra freguesia",1044
Paranhos,H,Empregada,"No mesmo município, noutra freguesia",46
Paranhos,HM,Empregada,"No mesmo município, noutra freguesia",125
Paranhos,M,Estudante,"No mesmo município, noutra freguesia",25
Paranhos,HM,Estudante,"No mesmo município, noutra freguesia",47
Paranhos,HM,Estudante,Na freguesia onde reside atualmente,65
Paranhos,H,Total,Na freguesia onde reside atualmente,95
Paranhos,M,Empregada,Na freguesia onde reside atualmente,53
Paranhos,HM,Total,"No mesmo município, noutra freguesia",172
Paranhos,H,Total,"No mesmo município, noutra freguesia",68
Paranhos,M,Total,Na freguesia onde reside atualmente,93
Paranhos,HM,Empregada,Na freguesia onde reside atualmente,123
Paranhos,M,Estudante,Na freguesia onde reside atualmente,40
Paranhos,H,Empregada,Na freguesia onde reside atualmente,70
Paranhos,H,Estudante,Na freguesia onde reside atualmente,25
Paranhos,M,Total,"No mesmo município, noutra freguesia",104
Paranhos,H,Estudante,"No mesmo município, noutra freguesia",22
Paranhos,HM,Total,Na freguesia onde reside atualmente,188
Paranhos,M,Empregada,"No mesmo município, noutra freguesia",79
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",H,Total,"No mesmo município, noutra freguesia",3264
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",H,Estudante,Na freguesia onde reside atualmente,1333
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",HM,Estudante,Na freguesia onde reside atualmente,2596
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",M,Total,Na freguesia onde reside atualmente,2271
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",H,Total,Na freguesia onde reside atualmente,1990
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",H,Estudante,"No mesmo município, noutra freguesia",1229
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",HM,Estudante,"No mesmo município, noutra freguesia",2393
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",M,Estudante,"No mesmo município, noutra freguesia",1164
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",M,Empregada,"No mesmo município, noutra freguesia",2246
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",HM,Total,"No mesmo município, noutra freguesia",6674
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",M,Empregada,Na freguesia onde reside atualmente,1008
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",H,Empregada,"No mesmo município, noutra freguesia",2035
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",HM,Total,Na freguesia onde reside atualmente,4261
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",M,Total,"No mesmo município, noutra freguesia",3410
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",H,Empregada,Na freguesia onde reside atualmente,657
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",HM,Empregada,Na freguesia onde reside atualmente,1665
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",M,Estudante,Na freguesia onde reside atualmente,1263
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",HM,Empregada,"No mesmo município, noutra freguesia",4281
Bonfim,HM,Estudante,"No mesmo município, noutra freguesia",1382
Bonfim,M,Estudante,Na freguesia onde reside atualmente,701
Bonfim,M,Estudante,"No mesmo município, noutra freguesia",680
Bonfim,M,Total,Na freguesia onde reside atualmente,1625
Bonfim,H,Empregada,Na freguesia onde reside atualmente,756
Bonfim,HM,Total,"No mesmo município, noutra freguesia",4946
Bonfim,H,Estudante,Na freguesia onde reside atualmente,662
Bonfim,HM,Empregada,"No mesmo município, noutra freguesia",3564
Bonfim,HM,Total,Na freguesia onde reside atualmente,3043
Bonfim,H,Estudante,"No mesmo município, noutra freguesia",702
Bonfim,M,Total,"No mesmo município, noutra freguesia",2651
Bonfim,H,Total,"No mesmo município, noutra freguesia",2295
Bonfim,M,Empregada,"No mesmo município, noutra freguesia",1971
Bonfim,HM,Estudante,Na freguesia onde reside atualmente,1363
Bonfim,HM,Empregada,Na freguesia onde reside atualmente,1680
Bonfim,H,Empregada,"No mesmo município, noutra freguesia",1593
Bonfim,M,Empregada,Na freguesia onde reside atualmente,924
Bonfim,H,Total,Na freguesia onde reside atualmente,1418
Campanhã,H,Estudante,"No mesmo município, noutra freguesia",884
Campanhã,HM,Total,Na freguesia onde reside atualmente,3724
Campanhã,HM,Total,"No mesmo município, noutra freguesia",5841
Campanhã,M,Total,Na freguesia onde reside atualmente,1943
Campanhã,H,Estudante,Na freguesia onde reside atualmente,1055
Campanhã,M,Estudante,Na freguesia onde reside atualmente,1020
Campanhã,M,Total,"No mesmo município, noutra freguesia",3219
Campanhã,HM,Estudante,Na freguesia onde reside atualmente,2075
Campanhã,HM,Empregada,"No mesmo município, noutra freguesia",4104
Campanhã,H,Total,Na freguesia onde reside atualmente,1781
Campanhã,H,Empregada,Na freguesia onde reside atualmente,726
Campanhã,M,Estudante,"No mesmo município, noutra freguesia",853
Campanhã,HM,Estudante,"No mesmo município, noutra freguesia",1737
Campanhã,M,Empregada,"No mesmo município, noutra freguesia",2366
Campanhã,M,Empregada,Na freguesia onde reside atualmente,923
Campanhã,H,Empregada,"No mesmo município, noutra freguesia",1738
Campanhã,H,Total,"No mesmo município, noutra freguesia",2622
Campanhã,HM,Empregada,Na freguesia onde reside atualmente,1649
Ramalde,M,Empregada,"No mesmo município, noutra freguesia",3711
Ramalde,HM,Empregada,"No mesmo município, noutra freguesia",6370
Ramalde,M,Empregada,Na freguesia onde reside atualmente,1371
Ramalde,H,Empregada,"No mesmo município, noutra freguesia",2659
Ramalde,HM,Empregada,Na freguesia onde reside atualmente,2433
Ramalde,HM,Estudante,"No mesmo município, noutra freguesia",3438
Ramalde,H,Total,Na freguesia onde reside atualmente,2364
Ramalde,M,Total,"No mesmo município, noutra freguesia",5437
Ramalde,HM,Total,"No mesmo município, noutra freguesia",9808
Ramalde,M,Total,Na freguesia onde reside atualmente,2618
Ramalde,HM,Total,Na freguesia onde reside atualmente,4982
Ramalde,H,Estudante,Na freguesia onde reside atualmente,1302
Ramalde,H,Empregada,Na freguesia onde reside atualmente,1062
Ramalde,H,Estudante,"No mesmo município, noutra freguesia",1712
Ramalde,H,Total,"No mesmo município, noutra freguesia",4371
Ramalde,HM,Estudante,Na freguesia onde reside atualmente,2549
Ramalde,M,Estudante,Na freguesia onde reside atualmente,1247
Ramalde,M,Estudante,"No mesmo município, noutra freguesia",1726
União das freguesias de Lordelo do Ouro e Massarelos,M,Estudante,"No mesmo município, noutra freguesia",1196
União das freguesias de Lordelo do Ouro e Massarelos,M,Total,"No mesmo município, noutra freguesia",3704
União das freguesias de Lordelo do Ouro e Massarelos,HM,Estudante,"No mesmo município, noutra freguesia",2451
União das freguesias de Lordelo do Ouro e Massarelos,M,Empregada,Na freguesia onde reside atualmente,1166
União das freguesias de Lordelo do Ouro e Massarelos,H,Empregada,Na freguesia onde reside atualmente,830
União das freguesias de Lordelo do Ouro e Massarelos,M,Total,Na freguesia onde reside atualmente,2135
União das freguesias de Lordelo do Ouro e Massarelos,H,Empregada,"No mesmo município, noutra freguesia",1953
União das freguesias de Lordelo do Ouro e Massarelos,M,Estudante,Na freguesia onde reside atualmente,969
União das freguesias de Lordelo do Ouro e Massarelos,H,Total,Na freguesia onde reside atualmente,1816
União das freguesias de Lordelo do Ouro e Massarelos,HM,Total,"No mesmo município, noutra freguesia",6912
União das freguesias de Lordelo do Ouro e Massarelos,H,Estudante,"No mesmo município, noutra freguesia",1255
União das freguesias de Lordelo do Ouro e Massarelos,HM,Empregada,"No mesmo município, noutra freguesia",4461
União das freguesias de Lordelo do Ouro e Massarelos,HM,Total,Na freguesia onde reside atualmente,3951
União das freguesias de Lordelo do Ouro e Massarelos,H,Total,"No mesmo município, noutra freguesia",3208
União das freguesias de Lordelo do Ouro e Massarelos,HM,Empregada,Na freguesia onde reside atualmente,1996
União das freguesias de Lordelo do Ouro e Massarelos,H,Estudante,Na freguesia onde reside atualmente,986
União das freguesias de Lordelo do Ouro e Massarelos,HM,Estudante,Na freguesia onde reside atualmente,1955
União das freguesias de Lordelo do Ouro e Massarelos,M,Empregada,"No mesmo município, noutra freguesia",2508
